0,1,2,3,4,6,7,9,10,11,15,16,17,19,21,22,24
Ki,Truong_Vien_Khoa,Ma_lop,Ma_lop_kem,Ma_HP,Ten_HP_Tieng_Anh,Khoi_luong,Buoi_so,Thu,Thoi_gian,Tuan,Phong,Can_TN,SL_Max,Loai_lop,Dot_mo,TeachingType
20241,TCNTT,154137,154137,IT3011,Data Structures and Algorithms,2(2-1-0-4),1,2,1505-1730,"2-9,11-18",D9-301,NULL,180,LT+BT,AB,
20241,TCNTT,153990,153990,IT3030,Computer Architectures,3(3-1-0-6),1,3,1410-1730,"2-9,11-18",D3-5-201,NULL,180,LT+BT,AB,
20241,TCNTT,154034,154034,IT3040,Programming Techniques,2(2-0-1-4),1,5,0645-0815,"2-9,11-18",D5-304,TN,110,LT+BT,AB,
20241,TCNTT,744467,744467,IT3040,Programming Techniques,2(2-0-1-4),1,7,1230-1500,"9,12,14,16,18",B1-203,NULL,40,TN,AB,
20241,TCNTT,154028,154028,IT3090,Database,3(2-1-1-6),1,4,1505-1730,"2-9,11-18",D5-503,TN,120,LT+BT,AB,
20241,TCNTT,744506,744506,IT3090,Database,3(2-1-1-6),1,7,1500-1730,"6,7,9,11,14",B1-303,NULL,40,TN,AB,
20241,KTTD,154810,sss,MI2020,Probability and Statistics,3(2-2-0-6),1,6,0645-0815,"2-9,11-18",D5-503,NULL,90,BT,AB,
20241,KTTD,154808,NULL,MI2020,Probability and Statistics,3(2-2-0-6),1,2,0825-1005,"2-9,11-18",D9-101,NULL,180,LT,AB,
20241,TCNTT,154016,154016,IT3160,Introduction to Artificial Intelligence,3(3-1-0-6),1,5,1410-1550,"2-9,11-18",TC-312,NULL,160,LT+BT,AB,Blend
20241,KTTD,153986,153986,MI3052,Introduction to Optimization Methods,2(2-1-0-4),1,4,1230-1455,"2-9,11-18",D3-402,NULL,80,LT+BT,AB,
20241,TCNTT,154020,154020,IT3180,Introduction to Software Engineering,3(2-2-0-6),1,6,1410-1730,"2-9,11-18",TC-312,NULL,150,LT+BT,AB,
